id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,9950.0,8839.778758367387,1000.0,888.4199757153153,0.1825,360.97,320.6929586339574,1072.82,953.1147183469045,1.1255937814712524,9.0,1.0,36.0,21.0,0.0,1.0
575239.0,12000.0,10661.039708583783,12000.0,10661.039708583783,0.20989999999999998,324.58,288.363355717677,959.75,852.6610716927738,1.1255937814712524,9.0,1.0,60.0,25.0,1.0,2.0
707689.0,10000.0,8924.29980495201,10000.0,8924.29980495201,0.1366,340.13,303.54220926583275,3726.25,3325.417214820243,1.1205360889434814,2.0,1.0,36.0,13.0,1.0,0.0
709828.0,27200.0,24165.023339456577,27200.0,24165.023339456577,0.2899,553.87,492.0691719494417,41913.62,37236.89726254096,1.1255937814712524,9.0,1.0,60.0,6.0,0.0,4.0
849994.0,11400.0,10526.076488797169,11400.0,10526.076488797169,0.2899,376.09,347.25895672559005,3753.6,3465.8491849428992,1.0830246210098267,3.0,0.0,36.0,10.0,0.0,1.0
1312426.0,15000.0,13496.099961290816,15000.0,13496.099961290816,0.1561,361.67,325.40896486667,2880.35,2591.5661015669334,1.1114321947097778,4.0,1.0,60.0,16.0,1.0,4.0
4526500.0,10800.0,9717.191972129389,10800.0,9717.191972129389,0.2899,328.22,295.3126619529915,2950.42,2654.61088318611,1.1114321947097778,4.0,1.0,36.0,1.0,1.0,2.0
6736790.0,18000.0,15946.200996660373,18000.0,15946.200996660373,0.2899,370.78,328.47402253009625,4432.02,3926.32676340104,1.1287955045700073,1.0,1.0,60.0,6.0,1.0,1.0
8138291.0,10350.0,9236.65029812533,1000.0,892.429980495201,0.2299,291.72,260.33967391006007,1432.16,1278.1025208660071,1.1205360889434814,2.0,0.0,60.0,26.0,1.0,4.0
8214572.0,7000.0,6247.009863466407,7000.0,6247.009863466407,0.2899,233.81,208.65905373958296,7300.41,6515.1047539069705,1.1205360889434814,2.0,1.0,36.0,11.0,1.0,2.0
12606806.0,24975.0,22786.69091962719,24975.0,22786.69091962719,0.2899,549.65,501.4896762351586,3831.55,3495.82965337728,1.0960345268249512,5.0,1.0,60.0,10.0,1.0,2.0
13026045.0,12000.0,10709.159765942413,12000.0,10709.159765942413,0.2899,275.07,245.48071473481494,2799.58,2498.429124794755,1.1205360889434814,2.0,1.0,60.0,13.0,1.0,2.0
14187903.0,12000.0,10709.159765942413,12000.0,10709.159765942413,0.1399,279.16,249.13075335504035,2846.33,2540.1502263829057,1.1205360889434814,2.0,1.0,60.0,15.0,1.0,4.0
14428496.0,21000.0,18603.901162770435,21000.0,18603.901162770435,0.2899,471.29,417.5158370953371,5155.28,4567.06283744796,1.1287955045700073,1.0,1.0,60.0,11.0,1.0,4.0
14470171.0,21000.0,18894.539945807144,21000.0,18894.539945807144,0.2899,687.42,618.4992690260356,41913.62,37711.3603506372,1.1114321947097778,4.0,1.0,36.0,9.0,1.0,1.0
14550531.0,32000.0,28429.43922289009,32000.0,28429.43922289009,0.2899,1005.43,893.2440961834494,3089.0,2744.329304984609,1.1255937814712524,9.0,1.0,36.0,6.0,1.0,0.0
14669896.0,21500.0,19046.851190455447,21500.0,19046.851190455447,0.2899,482.51,427.4556357165887,23855.94,21133.97856690389,1.1287955045700073,1.0,1.0,60.0,11.0,1.0,1.0
15389420.0,15000.0,13850.100643154168,15000.0,13850.100643154168,0.1399,348.95,322.1995079619098,41913.62,38700.52368792796,1.0830246210098267,3.0,1.0,60.0,14.0,1.0,2.0
16130931.0,20000.0,18247.60033603779,20000.0,18247.60033603779,0.1333,677.07,617.7451379760554,21119.05,19268.599193839946,1.0960345268249512,5.0,1.0,36.0,15.0,1.0,4.0
19137119.0,27000.0,24634.26045365102,27000.0,24634.26045365102,0.2899,586.92,535.494079461365,4075.47,3718.3773870755967,1.0960345268249512,5.0,1.0,60.0,9.0,1.0,1.0
19646726.0,28000.0,24988.03945386563,28000.0,24988.03945386563,0.2899,863.54,770.6489853568258,9472.03,8453.123548149959,1.1205360889434814,2.0,1.0,36.0,4.0,0.0,3.0
22403153.0,11200.0,9995.215781546252,11200.0,9995.215781546252,0.2899,373.56,333.3761435137873,1113.03,993.3013411905736,1.1205360889434814,2.0,0.0,36.0,11.0,0.0,3.0
25276117.0,28000.0,24805.20155036058,1000.0,885.9000553700207,0.2899,587.92,520.8383605531426,7040.28,6236.984441820449,1.1287955045700073,1.0,1.0,60.0,7.0,1.0,4.0
31207716.0,35000.0,31235.049317332036,35000.0,31235.049317332036,0.2899,790.82,705.751477175215,8674.34,7741.241077008743,1.1205360889434814,2.0,1.0,60.0,12.0,1.0,1.0
31888135.0,4950.0,4496.332656379348,4950.0,4496.332656379348,0.1999,183.94,167.0819048109934,178.44,162.08597963723858,1.100897192955017,10.0,1.0,36.0,24.0,1.0,2.0
